topic,question,option_a,option_b,option_c,option_d,correct_letter,explanation,difficulty,paper_year
Cell Biology & Classification,Which part of the cell contains the genetic material?,Cytoplasm,Nucleus,Cell membrane,Vacuole,B,,1,
Cell Biology & Classification,Which of these is a single-celled organism?,Amoeba,Human,Frog,Mushroom,A,,1,
Cell Biology & Classification,What is the function of the cell wall in plant cells?,Controls all substances entering the cell,Provides structural support and protection,Produces energy,Stores genetic information,B,,2,
Cell Biology & Classification,Which kingdom do bacteria belong to?,Animalia,Plantae,Monera,Fungi,C,,2,
Cell Biology & Classification,Which structure stores water and maintains turgor pressure in plant cells?,Nucleus,Vacuole,Ribosome,Mitochondria,B,,2,
Cell Biology & Classification,A prokaryotic cell differs from a eukaryotic cell mainly because it,Has a true nucleus,Lacks a membrane-bound nucleus,Has no cell membrane,Cannot reproduce,B,,2,
Cell Biology & Classification,Which of the following is NOT one of the five kingdoms of classification?,Animalia,Protista,Virus,Fungi,C,Viruses are not classified within the five kingdoms since they are non-living particles.,3,
Cell Biology & Classification,What is the main function of the Golgi apparatus?,Photosynthesis,Packaging and transporting proteins,Producing ATP,Storing DNA,B,,3,
Cell Biology & Classification,Which term describes an organism made of only one cell?,Multicellular,Unicellular,Tissue,Colony,B,,1,
Cell Biology & Classification,Which of these organelles is only found in animal cells and not plant cells?,Chloroplast,Cell wall,Centriole,Large vacuole,C,,3,
Plant Nutrition & Transport,What raw materials does a plant need for photosynthesis?,Oxygen and water,Carbon dioxide and water,Glucose and oxygen,Nitrogen and water,B,,1,
Plant Nutrition & Transport,Which gas is released as a by-product of photosynthesis?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,C,,1,
Plant Nutrition & Transport,Where in the plant cell does photosynthesis mainly take place?,Mitochondria,Nucleus,Chloroplast,Ribosome,C,,2,
Plant Nutrition & Transport,Which structures on a leaf allow gases to enter and exit?,Root hairs,Stomata,Xylem vessels,Petals,B,,2,
Plant Nutrition & Transport,What is transpiration?,The uptake of minerals by roots,The loss of water vapor from leaves,The production of seeds,The absorption of sunlight,B,,2,
Plant Nutrition & Transport,"Which factor would NOT increase the rate of transpiration?",Increased temperature,Increased wind speed,Increased humidity,Increased light intensity,C,"Higher humidity reduces the water potential gradient, slowing transpiration.",3,
Plant Nutrition & Transport,A wilting plant placed in water often recovers because water moves into its cells by,Diffusion,Osmosis,Active transport,Transpiration,B,,2,
Plant Nutrition & Transport,Which nutrient deficiency in soil commonly causes stunted plant growth?,Nitrogen,Oxygen,Carbon dioxide,Water vapor,A,,2,
Plant Nutrition & Transport,What is the main function of a flower's petals?,Produce seeds,Attract pollinators,Absorb water,Store food,B,,1,
Plant Nutrition & Transport,Which process describes the transfer of pollen from anther to stigma?,Fertilization,Germination,Pollination,Respiration,C,,1,
Human Nutrition & Health,Which vitamin deficiency causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,,2,
Human Nutrition & Health,Which vitamin is mainly obtained through sunlight exposure on skin?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C,,2,
Human Nutrition & Health,A balanced diet should include all EXCEPT,Carbohydrates,Proteins,Fats,Only water,D,,1,
Human Nutrition & Health,Which mineral is essential for strong bones and teeth?,Iron,Calcium,Sodium,Potassium,B,,1,
Human Nutrition & Health,What is the main role of fiber in the human diet?,Provides energy,Aids digestion and prevents constipation,Builds muscle,Produces hormones,B,,2,
Human Nutrition & Health,Which of these is a water-soluble vitamin?,Vitamin A,Vitamin D,Vitamin C,Vitamin E,C,,3,
Human Nutrition & Health,"What does the term 'malnutrition' refer to?",Eating too much food only,"An imbalance of nutrients, whether too much or too little",Only a lack of vitamins,Eating only vegetables,B,,2,
Human Nutrition & Health,Which practice most directly helps prevent food poisoning?,Storing food at proper temperatures,Eating food quickly,Adding more salt to food,Reheating food multiple times,A,,2,
Human Nutrition & Health,Which of the following diseases is caused by a bacterium?,Malaria,Tuberculosis,Influenza,Measles,B,,3,
Human Nutrition & Health,Vaccination works by,Killing existing infections directly,Preparing the immune system to recognize a pathogen,Providing vitamins to the body,Replacing damaged cells,B,,2,
Human Body Systems,Which blood vessels carry blood away from the heart?,Veins,Arteries,Capillaries,Lymph vessels,B,,2,
Human Body Systems,Which chamber of the heart pumps oxygenated blood to the body?,Right atrium,Right ventricle,Left atrium,Left ventricle,D,,3,
Human Body Systems,Which organ is primarily responsible for gas exchange in humans?,Heart,Lungs,Liver,Kidneys,B,,1,
Human Body Systems,What is the function of the alveoli in the lungs?,Pump blood,Exchange oxygen and carbon dioxide,Filter waste,Produce mucus,B,,2,
Human Body Systems,Which organ produces bile to help digest fats?,Pancreas,Liver,Stomach,Small intestine,B,,2,
Human Body Systems,Which part of the nervous system carries messages between the brain and the rest of the body?,Brain,Spinal cord,Skull,Skin,B,,2,
Human Body Systems,Which gland regulates blood sugar levels by producing insulin?,Thyroid,Pancreas,Adrenal gland,Pituitary gland,B,,2,
Human Body Systems,Excess water and waste are removed from the blood mainly through which organ system?,Digestive system,Respiratory system,Excretory system,Skeletal system,C,,1,
Human Body Systems,Which of these is a function of the skeletal system?,Digesting food,Providing support and protection for organs,Regulating hormones,Pumping blood,B,,1,
Human Body Systems,"What is the normal resting heart rate range for a healthy adult human, in beats per minute?",20-40,60-100,150-180,200-250,B,,2,
Genetics,Which term describes an organism with two identical alleles for a trait?,Heterozygous,Homozygous,Hybrid,Mutant,B,,2,
Genetics,"If a trait is recessive, when is it expressed in the phenotype?",Only when one copy of the allele is present,Only when two copies of the recessive allele are present,Never,Only in males,B,,2,
Genetics,A Punnett square is used to,Predict possible genotypes of offspring,Measure cell size,Identify plant species,Count chromosomes directly,A,,2,
Genetics,Which process in meiosis reduces the chromosome number by half?,Fertilization,Mitosis,Meiotic division,Photosynthesis,C,,2,
Genetics,Sex-linked traits in humans are most commonly carried on which chromosome?,Chromosome 21,The X chromosome,The Y chromosome only,Chromosome 1,B,,3,
Genetics,Identical twins result from,Two separate eggs being fertilized by two sperm,One fertilized egg splitting into two embryos,Two eggs fertilized by one sperm,A genetic mutation,B,,2,
Genetics,What is a genome?,A single gene,The complete set of genetic material in an organism,A type of chromosome,A protein molecule,B,,2,
Genetics,Down syndrome in humans is caused by,A missing chromosome,An extra copy of chromosome 21,A mutation in a single gene,An infection during pregnancy,B,,3,
Genetics,Which best defines a dominant allele?,An allele expressed only when paired with an identical allele,An allele that masks the effect of a recessive allele when present,An allele found only in females,An allele that never gets inherited,B,,2,
Genetics,Selective breeding in agriculture works by,Randomly crossing all available organisms,Choosing organisms with desirable traits to breed together,Only using genetically identical organisms,Preventing all reproduction,B,,2,
Reproduction & Health,Which hormone is primarily responsible for triggering ovulation?,Insulin,Luteinizing hormone,Adrenaline,Thyroxine,B,,3,
Reproduction & Health,The menstrual cycle in humans typically lasts about how many days?,7 days,14 days,28 days,60 days,C,,2,
Reproduction & Health,Which structure protects and nourishes a developing human fetus?,Ovary,Placenta,Fallopian tube,Cervix,B,,2,
Reproduction & Health,Which of these is an example of asexual reproduction in plants?,Seed germination,Pollination,Runners/stem cuttings,Fertilization,C,,2,
Reproduction & Health,What is the main advantage of sexual reproduction over asexual reproduction?,It is faster,It produces genetic variation among offspring,It requires only one parent,It always produces more offspring,B,,2,
Reproduction & Health,Which of these is a correct definition of puberty?,The period when reproductive organs become fully developed and functional,A disease affecting teenagers,A type of contraceptive,A stage only found in plants,A,,2,
Reproduction & Health,Emergency contraception is most effective when taken,Any time during pregnancy,As soon as possible after unprotected intercourse,Only after childbirth,Only by married couples,B,,2,
Reproduction & Health,Which of these correctly describes an STI (sexually transmitted infection)?,An infection that can only affect animals,An infection primarily spread through sexual contact,A vitamin deficiency,A genetic disorder,B,,2,
Reproduction & Health,Antenatal care during pregnancy mainly helps to,Increase the mother's age,Monitor the health of the mother and developing baby,Determine the baby's future career,Replace the need for a healthy diet,B,,2,
Reproduction & Health,Which of these is the safest way to confirm suspected pregnancy?,Guessing based on symptoms alone,A pregnancy test or medical examination,Waiting several months,Asking family members,B,,1,
Ecology & Environment,What is a food chain?,A method of farming,A sequence showing how energy passes from one organism to another through feeding,A type of ecosystem,A classification system,B,,2,
Ecology & Environment,"Producers in an ecosystem are typically",Animals that eat plants,"Organisms that make their own food, usually plants",Decomposers,Predators only,B,,1,
Ecology & Environment,What role do decomposers play in an ecosystem?,They produce oxygen,They break down dead organisms and recycle nutrients,They hunt live prey,They photosynthesize,B,,2,
Ecology & Environment,Which best describes a food web?,A single food chain,An interconnected network of multiple food chains,A list of producers only,A diagram of the water cycle,B,,2,
Ecology & Environment,Global warming is primarily caused by an increase in which type of gases in the atmosphere?,Noble gases,Greenhouse gases,Inert gases,Oxygen,B,,2,
Ecology & Environment,Which practice best supports sustainable use of natural resources?,Overharvesting forests,Conservation and controlled resource use,Ignoring waste management,Unlimited industrial expansion,B,,2,
Ecology & Environment,An invasive species introduced to a new ecosystem often,Has no effect on native species,Can outcompete native species and disrupt the ecosystem,Always goes extinct immediately,Improves biodiversity automatically,B,,3,
Ecology & Environment,Which of these best defines biodiversity?,The number of animals in a zoo,The variety of living organisms in an ecosystem or on Earth,The number of plant species used in farming,The total mass of organisms,B,,2,
Ecology & Environment,Soil erosion is most effectively reduced by,Removing all vegetation,Planting trees and ground cover,Increasing monoculture farming,Building on riverbanks,B,,2,
Ecology & Environment,Which human activity contributes most directly to air pollution?,Recycling programs,Burning fossil fuels,Reforestation,Organic farming,B,,1,
